#fields:Hanzi	Pinyin	English	Notes	Tags
艾草	àicǎo	mugwort; wormwood (Artemisia argyi)	艾 (ài, mugwort) + 草 (cǎo, herb, grass). Hung over doorways on the Double Fifth to repel evil and insects, owing to its strong fragrance. Also used in traditional Chinese medicine (艾灸 àijiǔ, moxibustion) and in cooking (青团 qīngtuán, green rice cakes flavored with mugwort, eaten at Qīngmíng).	culture festival history food calendar
艾灸	àijiǔ	Moxibustion , burning dried mugwort at or near acupoints to warm and tonify. Paired with needling in the term 针灸 (zhēnjiǔ), which names the two techniques together. Used specifically for cold-type and deficiency-type conditions where warming stimulation is indicated.	Moxibustion , burning dried mugwort at or near acupoints to warm and tonify. Paired with needling in the term 针灸 (zhēnjiǔ), which names the two techniques together. Used specifically for cold-type and deficiency-type conditions where warming stimulation is indicated.	tcm medicine health science history
爱国	àiguó	patriotic; to love one's country	爱 ài (love) + 国 guó (country). Patriotism. A deeply freighted term in Chinese political culture: 爱国主义 àiguó zhǔyì is patriotism as ideology, 爱国人士 patriotic personages. In everyday use, simply "to love one's country."	emotion romance confucianism politics society culture history
爱好	àihào	hobby; interest; pastime	爱 ài (to love) + 好 hào (to be fond of). A thing one loves doing , a hobby or passion. One of the first personal vocabulary items learners need: 你有什么爱好？(What are your hobbies?)	emotion romance confucianism virtue social daily-life
爱护	àihù	to cherish and protect; to take loving care of	爱 ài + 护 hù (to protect; to guard). To love something by protecting it. Used for public property (爱护环境), younger people (爱护学生), and cultural heritage. A civic and ethical register.	emotion romance confucianism
爱面子	ài miànzi	to be very concerned with face; to care about appearances	爱 (to love; to value; to be attached to). 爱面子 describes someone who places unusually high value on face , so much so that their behavior is shaped by the desire to maintain appearances even when it conflicts with practical sense.	social honor culture
爱情	àiqíng	romantic love; love as a feeling	爱 ài + 情 qíng (feeling; sentiment; romance). The noun for romantic love as an abstract force or state. 爱情故事 = love story; 爱情电影 = romance film; 谈恋爱 is the verb for being in a relationship, but 爱情 names the thing itself.	literature novels classics classical qing romance emotion confucianism mind characters
安定	āndìng	settled; secure; to settle (a society, a life)	安 ān (peace; safe) + 定 dìng (settled). A secure, untroubled state of life or society, with the calm of 安 added to the fixity of 定: 安定的生活 "a settled life," 安定团结 "stability and unity."	meaning timing evaluation characters
安静	ānjìng	quiet		phonology communication language vocabulary
安全	ānquán	safe; safety		perception humanity characters
安全第一	ānquán dì-yī	safety first; safety above all	安全 ānquán (safety) + 第一 dì-yī (first). A fixed slogan ranking safety as the top priority. Here 第一 means "the foremost concern," not a numbered position.	meaning education characters grammar
安危	ānwēi	safety and danger; well-being	安 (safety) bound to 危 (danger) as one word: the whole question of whether someone is safe or in peril. A fixed pair where the two opposites name a single concern, often someone's fate or welfare.	perception humanity characters
鹌鹑蛋	ānchún dàn	quail egg		food nature daily-life characters
案件	ànjiàn	a legal case; an incident under investigation	案 àn (case; record; desk on which records were kept) + 件 jiàn (a piece). A discrete legal or police matter, treated as a single file of business. 案 alone meant the official desk and then the file of papers on it; with 件 it becomes one such case, counted and pursued on its own.	measure-words things meaning characters
暗	àn	dim; dark; hidden		color darkness symbolism light clarity time cosmology nature weather
暗示	ànshì	to hint; to imply		meaning gift register
昂首	ángshǒu	to hold the head high; head raised	昂 áng (to raise, to lift up) + 首 shǒu (head). To carry the head high, in pride or defiance. 昂首挺胸 "head high and chest out" is the stock image of someone walking with proud, confident bearing. Literary in tone; the spoken equivalent uses 头 tóu.	body measure-words royalty characters
傲慢	àomàn	arrogant; haughty; condescending	傲 ào (proud, lofty, unbending) + 慢 màn (slow to respond, dismissive of others). The most common Chinese word for arrogance: deliberate condescension, the attitude of someone who considers themselves above the normal courtesies. Clearly pejorative.	emotion daily-life adjectives
八成	bāchéng	eighty percent; most likely; probably	八 bā + 成 chéng (a tenth, a tenth part). Eight tenths, eighty percent. Literally a proportion (八成新, eighty percent new, that is, in good used condition), but very commonly an adverb of high probability: 八成是他, "it's most likely him," "I'd say eighty percent it's him." A natural everyday way to express…	cosmology culture language
八大菜系	bā dà càixì	the Eight Great Cuisines — every regional banquet runs on baijiu		drink spirits social food culture geography history buddhism daily-life new-year northern confucianism trade culinary etiquette colloquial nature
八股文	bāgǔwén	the eight-legged essay — the rigid Ming-Qing examination form	The prescribed essay format mandated by the Ming dynasty (from 1487 onward) and retained through the Qing: eight sections in a fixed sequence, strict parallelism requirements, a prescribed length, and no deviation from the topic as given.	history confucianism tang song ming qing
八卦	bāguà	the eight trigrams; gossip	八 bā + 卦 guà (trigram; divinatory figure). The eight three-line figures of yin and yang at the foundation of the Yijing, used in divination, feng shui, and cosmology. In colloquial modern usage the same word means gossip: 八卦新闻 (tabloid news), 别八卦了 (stop gossiping).	cosmology culture language space wuxing five-phases philosophy tcm nature yin-yang history ancient binary classical taoism literature
八卦镜	bāguà jìng	The ba-gua mirror , an octagonal mirror surrounded by the eight trigrams (八卦) of the I Ching, hung above doorways to deflect negative energy or bad feng shui directed at the entrance. The mirror reflects harmful influences back toward their source.	The ba-gua mirror , an octagonal mirror surrounded by the eight trigrams (八卦) of the I Ching, hung above doorways to deflect negative energy or bad feng shui directed at the entrance. The mirror reflects harmful influences back toward their source.	folk-religion symbolism culture daily-life ritual religion
八旗	bāqí	Eight Banners (Manchu military system)		qing manchu decline
八仙	bāxiān	the Eight Immortals	八 bā + 仙 xiān (immortal; transcendent). The Eight Immortals of Daoist legend, a band of figures each with a distinctive emblem and power, including Lü Dongbin, He Xiangu, and Iron-Crutch Li.	cosmology culture language daoism religion immortality
八月	bāyuè	August; the eighth month	八 bā + 月 yuè (month). August in the solar calendar. The fifteenth day of the eighth lunar month is the Mid-Autumn Festival (中秋节), one of the most important holidays of the year, when families gather to admire the full moon and eat mooncakes.	cosmology culture language
八字	bāzì	birth horoscope (Four Pillars)		folk-religion gods popular
拔罐	bá guàn	cupping therapy	拔 bá (to pull; to extract) + 罐 guàn (jar; can). Cupping: placing glass or bamboo cups on the skin after creating a vacuum (by heat or suction) to draw up the skin and underlying tissues, promoting local blood and qi circulation.	tcm body philosophy culture
把包放下	bǎ bāo fàng xià	put the bag down	放 fàng (to place; put) + 下 xià (down; into a lower position). A simple directional 把 sentence , the object (bag) is moved to a lower location. 下 here signals downward movement or lowering into position. The 把 foregrounds the deliberate, targeted nature of the placing.	syntax object disposal
把窗户打开	bǎ chuānghu dǎ kāi	to open the window (strike it into an open state)	打 dǎ (to hit; to strike , used as a general action verb with many objects) + 开 kāi (open; apart; into an open state). The combination 打开 means "open" , the object is moved into an open or separated state. 开 as a resultative complement implies separation, opening, or dispersal.	syntax object disposal
把门关上	bǎ mén guān shàng	to close the door (shut it into the closed position)	关 guān (to close) + 上 shàng (up; into a closed/attached state). Here 上 is a resultative complement indicating that the door has been moved into the closed, shut position.	syntax object disposal
把书放好	bǎ shū fàng hǎo	to put the book away properly	放 fàng (to place; to put) + 好 hǎo (well; properly; in the right state). The 好 signals the object reaches a satisfactory, correct, or complete state. 放好 is not just "put down" , it's "place in a way that is done properly." 好 as a resultative complement implies care, correctness, and readiness.	syntax object disposal
把书拿出来	bǎ shū ná chūlái	take the book out (bring it out into the open)	拿 ná (to take; to hold in the hand) + 出来 chūlái (out-coming; out toward the speaker). The book is extracted from some container or location and brought into the present space. 出来 implies emergence from a hidden or enclosed place toward an open, accessible position.	syntax object disposal
把握	bǎwò	grip; certainty; to be confident		syntax object disposal
把椅子搬进来	bǎ yǐzi bān jìnlái	bring the chair inside (move it in-coming direction)	搬 bān (to move heavy things; to transport) + 进来 jìnlái (in-coming; into this space). The directional complement 进来 specifies both the direction (in) and the orientation toward the speaker (来). The 把 construction signals the chair is a definite, specific object being moved as a deliberate act.	syntax object disposal
把作业做完	bǎ zuòyè zuò wán	to finish the homework (do it through to completion)	做 zuò (to do) + 完 wán (to finish; to exhaust; resultative complement). The 完 is the result , the homework has been completely done. Without 完, the sentence would be ungrammatical: *把作业做. 完 is one of the most common resultative complements in the 把 construction.	syntax object disposal
爸爸	bàba	dad (colloquial)		family humanity characters
霸道	bàdào	hegemony; domineering; the way of force	霸 bà (hegemon; overlord, one who rules by force rather than virtue) + 道 dào (way; path). Classically: governing through coercion rather than moral example, the antithesis of 王道. Colloquially in modern Mandarin: overbearing, domineering (of a person's behavior).	daoism philosophy path
霸主	bàzhǔ	hegemon lord — power exercised without moral mandate	霸 bà (dominate by force) + 主 zhǔ (lord, master). Mencius drew the sharpest formulation of the distinction between 王 wáng (true kingship through moral virtue) and 霸 bà (hegemonic dominance through military and economic power): 以力假仁者霸 "one who uses force while pretending to benevolence is a hegemon" (…	history confucianism classical dynasty ancient politics ritual philosophy classics
白白	báibái	in vain; for nothing		color clarity symbolism daily-life culture
白菜	báicài	Chinese cabbage; bok choy family	白 bái (white) + 菜 cài (vegetable). The pale-stalked cabbage that anchors northern winter cooking. So cheap and plentiful that 白菜价 "cabbage price" means dirt cheap.	food culinary daily-life characters
白茶	báichá	white tea — minimally processed; wither and dry		tea culture drink dark-tea puerh culinary history yunnan black-tea trade yellow-tea green-tea brewing tisane herbal tcm health oolong ceremony
白吃	bái chī	to eat for free; to freeload		color clarity symbolism daily-life culture
白毫	báiháo	white down — the fine hairs on young buds		tea white-tea culinary fujian
白话	báihuà	vernacular Chinese; plain speech		color clarity symbolism daily-life culture
白话文	báihuàwén	vernacular written Chinese	白 bái (plain; white; clear; spoken) + 话 huà (speech; talk) + 文 wén (written text). Writing that matches how people actually speak. 白话 literally = "plain speech," the ordinary spoken language as opposed to the elevated classical register.	literature history culture writing classical language meta geography identity vocabulary 1911 republic sun-yatsen
白酒	báijiǔ	baijiu — the spirit most often paired with a hotpot meal		food culture social history daily-life culinary etiquette colloquial
白莲社	Báilián Shè	White Lotus Society (Huiyuan's)		pure-land amitabha faith
白米	báimǐ	white rice; polished rice		color clarity symbolism daily-life culture
白切鸡	báiqiē jī	White-Cut Chicken		food culture geography history trade
白色	báisè	white (the color); the color white		color clarity symbolism daily-life culture
白天	báitiān	daytime		color clarity symbolism daily-life culture
白衣	báiyī	white-robed (form of Guanyin)		religion buddhism folk-religion goddess compassion
白衣观音	Báiyī Guānyīn	White-Robed Guanyin — the most common home altar image	白衣 báiyī (white robe) + 观音. The seated figure in a white robe, often with a willow branch and a small vase, depicted on or near a lotus throne. This is the Guanyin of domestic altars across Taiwan, Hong Kong, Macau, and Southeast Asian Chinese diaspora communities.	religion buddhism folk-religion goddess compassion
百分之	bǎi fēn zhī	percent; out of a hundred parts	百 (hundred) + 分 fēn (parts, divide) + 之 zhī (of, possessive particle). Literally: "out of a hundred parts." Chinese writes percentages as 百分之X , 百分之五十 (50%), 百分之百 (100%).	scale language history
百花	bǎihuā	a hundred flowers; the 1956 campaign		scale language history
百货	bǎihuò	all kinds of goods; department store	百 (all kinds of) + 货 huò (goods, merchandise). 百货公司 (bǎihuò gōngsī, "all-goods company") is the standard Chinese term for a department store.	scale language history
百家	bǎijiā	a hundred schools; all schools of thought		scale language history
百科	bǎikē	encyclopedia; all branches of knowledge	百 (all) + 科 kē (branch of study, department, subject). The term for encyclopedia: 百科全书 (bǎikē quánshū, "complete book of all branches of knowledge"). 百度百科 is the major Chinese-language wiki encyclopedia.	scale language history
百年	bǎinián	a hundred years; a full generation; a lifetime	百 (hundred) + 年 nián (year). A century, but also a metonym for a full human span or a generational unit of history. 百年大计 (bǎinián dàjì, "a great plan for a hundred years") means a long-term fundamental strategy.	scale language history
百年屈辱	Bǎinián Qūrǔ	Century of Humiliation		qing manchu decline
百日	bǎirì	The hundred-day mourning period following a death	The hundred-day mourning period following a death. During this time the bereaved family observes restrictions on celebration and festive activity. A commemoration ceremony at the end of the hundred days formally closes the mourning period.	ritual social culture etiquette daily-life family symbolism ancestors
百姓	bǎixìng	the common people; ordinary citizens	百 (hundred; all) + 姓 xìng (surname). The full range of surnames = everyone who is not nobility. The warm, slightly literary word for "the people." 老百姓 (lǎobǎixìng) adds 老 (old, familiar) for a more affectionate, colloquial tone. Political speeches say 人民; everyday speech says 老百姓.	scale language history society politics social characters
败北	bài běi	to be defeated; to suffer a loss	败 (bài, to be defeated, to lose) + 北 (běi, to flee , the original meaning). The classical military compound where 北 carries its original "flight in defeat" meaning. Used in formal and literary contexts for losing a battle, an election, or a competition.	directions nature cosmology
败坏	bàihuài	to corrupt, ruin		daily-life society characters
拜拜	bàibai	to worship; offering ritual (Taiwan)		folk-religion gods popular
拜神明	bài shénmíng	to venerate the gods; to pay respect at a deity's altar	拜 bài (to bow; to worship; to pay respects) + 神明. The standard verb for the act of ritual veneration , burning incense, bowing, presenting offerings. Common in Taiwan, Fujian, and diaspora communities. The word 拜 is secular enough (拜访 = to visit) that 拜神明 does not sound archaic or overly formal.	religion folk-religion gods philosophy classical
拜堂	bài táng	the traditional wedding ceremony bow	拜 bài (to bow; to pay respects) + 堂 táng (hall; the family hall). The three bows of the traditional Chinese wedding: first bow to Heaven and Earth (一拜天地), second bow to the parents (二拜高堂), third bow to each other (夫妻对拜). Each bow ratifies the marriage before a different authority.	culture daily-life history social
般若波罗蜜	bōrě bōluómì	prajñā-pāramitā; perfection of wisdom		buddhism philosophy religion classics
斑马	bānmǎ	zebra		nature daily-life characters
搬	bān	move (objects)		direction complement motion
办	bàn	to handle; to do (a matter)		society daily-life meaning characters grammar communication pragmatics spoken
办法	bànfǎ	a way; a means; a solution	办 bàn (to handle; to manage) + 法 fǎ (way). The practical way to get a concrete thing done or to solve a problem at hand: 想办法 "to think of a way," 没办法 "there's nothing to be done."	legal religion meaning characters space geometry
办公室	bàngōngshì	office		society ethics meaning characters
半	bàn	Half	Half. Follows the measure word when added to a whole quantity (一个半, one and a half) and precedes it when alone (半个小时, half an hour). Also in 半天 (bàntiān, "half a day"), the standard exaggeration for "ages."	cosmology philosophy daoism yin-yang grammar vocabulary numbers daily-life scale learning
伴手礼	bànshǒulǐ	A hand gift	A hand gift: a gift brought in hand when visiting someone, the material expression of having thought of the host. Turning up empty-handed (空手 kōngshǒu) to visit someone's home, especially a first visit, is considered poor form. The 伴手礼 need not be elaborate; the gesture matters more than the object.	gift social etiquette culture daily-life economy
绊脚石	bànjiǎoshí	stumbling block; obstacle	绊 bàn (to trip) + 脚 + 石 shí (stone). The foot-tripping stone. Both literal (a stone in the path) and figurative (an obstacle to progress).	body movement space
帮	bāng	to help		grammar aspect complement communication vocabulary daily-life society
帮忙	bāng//máng	to help (lend-a-busy-hand)	帮 (assist) + 忙 (busyness): to take on someone's busyness. The polite request is 帮个忙 or, upgraded, 帮我一个大忙 (do me a big favor). Direct objects go on bare 帮.	grammar syntax spoken vocabulary daily-life society communication
帮派	bāngpài	gang; faction		wuxia culture society
帮手	bāngshǒu	helper; assistant	帮 bāng (to help) + 手 shǒu (person; hand). A helper , someone who lends a hand. Also 帮忙 bāng máng (to help out , the common spoken form) and 帮助 bāngzhù (to assist , more formal).	body culture
帮我一下	bāng wǒ yíxià	give me a hand; help me out	A model of 一下 as a politeness softener. The bare 帮我 ("help me") is blunt; adding 一下 frames it as a small, quick favor and sounds far friendlier. Note that 一下 can follow the object here (帮我一下) because 帮 takes a person directly. The same softening works across requests: 看一下, 等一下, 问一下.	grammar aspect complement communication
绑	bǎng	to tie; to bind		knowing meaning communication characters
榜样	bǎngyàng	role model; good example to follow	榜 bǎng (a posted list, a board) + 样 yàng (model). A person held up as a pattern for others: 树立榜样 "to set an example," 学习的榜样 "a model to learn from."	meaning perception characters
棒喝	bànghè	the shout-and-blow — spontaneous awakening techniques	棒 bàng (staff, blow) + 喝 hè (shout, roar). Two of the most distinctive Chan teaching methods: a sudden shout (associated especially with the master Linji 临济, whose shout 喝 became the name of the Rinzai school) and a strike with a staff (associated with Deshan 德山).	chan zen meditation
包	bāo	to wrap, bundle	To wrap, to enclose , the verb for making dumplings (包饺子), as well as the root of 包子 (stuffed bun). Also means "to guarantee" or "to take responsibility for."	food body daily-life characters new-year northern
宝船	bǎochuán	treasure ship (Zheng He's flagship)		ming great-wall zhenghe
饱餐	bǎocān	to eat a hearty meal	饱 (full) + 餐 (cān, meal): to eat heartily, to feast. Often appears as 饱餐一顿 (bǎocān yí dùn, to have a good filling meal), with a faint literary warmth.	food body daily-life characters
饱含	bǎohán	to be brimming with	饱 (full) + 含 (hán, to hold inside): to be charged with, brimming with. Used for tears, feeling, or meaning, as in 饱含深情 (bǎohán shēnqíng, brimming with deep feeling).	food body daily-life characters
饱和	bǎohé	saturated, saturation	饱 (full) + 和 (hé, to mix, to combine): saturation. A technical term for a solution, market, or air that can absorb no more, as in 市场已经饱和 (shìchǎng yǐjīng bǎohé, the market is already saturated).	food body daily-life characters
饱满	bǎomǎn	full, plump; brimming	饱 (full) + 满 (mǎn, full to the brim): plump and rounded, or figuratively brimming with vigor. Describes grain, fruit, and spirits alike, as in 精神饱满 (jīngshén bǎomǎn, full of energy).	food body daily-life characters
保持	bǎochí	to keep, to maintain		society communication characters
保护	bǎohù	to protect		humanity society characters
保全	bǎoquán	to preserve intact; to keep safe and whole	保 bǎo (to protect) + 全 quán (intact). To keep something whole and unharmed through a threat: 保全性命 "to preserve one's life," 保全名誉 "to keep one's reputation intact." The intact sense made active.	meaning evaluation characters quality
报仇	bàochóu	to avenge, take revenge	报 (to requite) plus 仇 (chóu, enmity): to pay back a wrong. The dark twin of 报答, turning the same logic of return toward vengeance.	communication society characters
报酬	bàochou	remuneration, pay		communication society characters
报答	bàodá	to repay (a kindness)	报 (to requite) plus 答 (dá, to answer): to answer a kindness with thanks made real. Reserved for repaying gratitude, a warmer word than the neutral 回报.	communication society characters
报道	bàodào	news report; to report (news)	报 bào (to announce; to report; newspaper) + 道 dào (way; path). To map and announce the course of events: journalism as the act of charting what has happened. Used both as a noun (a report, a piece of coverage) and as a verb (to report on something).	communication society characters daoism philosophy path
报告	bàogào	to report; a report	报 (to announce) plus 告 (gào, to tell): to deliver an account formally, and the document that delivers it. Works as both the act of reporting and the written or spoken report itself.	communication society characters
报警	bàojǐng	to call the police; sound an alarm		communication society characters
报名	bàomíng	to sign up, register	报 (to report) plus 名 (míng, name): to report your name onto a list. The standard verb for signing up or enrolling for a class, a contest, or an exam.	communication society characters
报社	bàoshè	newspaper office; press	报 bào (newspaper) + 社 shè (an agency, office). The organization that produces a newspaper, both the institution and its premises: 在报社工作 "to work at a newspaper." The 社 here is the institutional body, not a club; the same slot gives 出版社 "publishing house" and 杂志社 "magazine office."	society social ritual characters
报销	bàoxiāo	to claim reimbursement		communication society characters
报纸	bàozhǐ	newspaper	报 (the thing announced) plus 纸 (zhǐ, paper): the daily report rendered on paper. The everyday word for a printed newspaper, and the head noun behind titles like 《人民日报》.	communication society characters
暴力	bàolì	violence; brute force	暴 bào (violent; cruel) + 力 lì (force). Force used to harm, the dark side of 力: 家庭暴力 "domestic violence," 暴力行为 "violent behavior." Here strength has turned destructive.	energy ability meaning characters martial-arts wuxia honor
暴雨	bàoyǔ	torrential rain; downpour		nature radical cosmology
悲	bēi	sorrow; grief		emotion culture family characters
悲观	bēiguān	pessimistic		perception philosophy meaning characters emotion music culture
悲悯	bēimǐn	sympathy and compassion; compassionate pity	悲 (grief at suffering) + 悯 mǐn (pity; compassion for the unfortunate). A literary compound for the quality of being moved by others' misfortune , closer to pity or sympathy than the more active 慈悲.	buddhism compassion ethics virtue religion philosophy folk-religion
悲伤	bēishāng	sad; grieved		emotion culture characters feeling
北斗七星	běidǒu qī xīng	the seven stars of the Big Dipper	北斗 (the Northern Dipper) + 七星 (seven stars). The seven bright stars of the Big Dipper, central to Chinese astronomy, navigation, and Daoist ritual.	cosmology culture language
北方	běifāng	the North; northern		directions nature cosmology
北港朝天宫	Běigǎng Cháotiān Gōng	Beigang Chaotian Temple — Taiwan's great Mazu shrine	The Chaotian Temple (朝天宫) in Beigang, Yunlin County, Taiwan, is one of the oldest and most revered Mazu temples on the island, traditionally dating its founding to 1694 CE. With Dajia's Zhenlangong, it is one of Taiwan's two dominant Mazu pilgrimage centers.	mazu goddess coast
北京	Běijīng	Beijing (capital of China)	北 (north) + 京 (capital). The Northern Capital , counterpart to 南京 Nánjīng (Southern Capital). Beijing has served as the capital of the Yuan, Ming, and Qing dynasties, and of the People's Republic. The name dates to 1403 when the Yongle Emperor moved the Ming court north from Nanjing.	directions nature cosmology history geography dynasty great-wall qin ming architecture
北京话	Běijīnghuà	Beijing dialect	Beijing dialect: the basis of standard Mandarin (普通话 pǔtōnghuà). Beijing speech is characterized by heavy retroflex consonants and the 儿化 (érhuà) suffix that makes 这里 → 这儿, 哪里 → 哪儿. A strong Beijing accent is audible and distinct.	beijing geography capital
北洋军	Běiyáng Jūn	Beiyang Army (Yuan's power base)		1911 republic sun-yatsen
背	bèi	back; to carry on the back		direction time royalty grammar space motion meaning characters
背后	bèihòu	behind someone's back; in secret	背 bèi (back of the body; to turn one's back on) + 后 (behind). The space behind a person's back , the zone they cannot see. In figurative use, 背后 means to act covertly, without someone's knowledge or consent. 在背后说人坏话 (to speak ill of someone behind their back) is a strong social criticism.	direction time royalty grammar
背诵	bèisòng	to recite from memory		learning language education culture history arts
被打了	bèi dǎ le	got hit; was beaten (by an unspecified agent)	When the agent is unknown, irrelevant, or deliberately omitted, the 被 construction works without naming who did the action. The 被 alone signals passive and adversarial meaning.	passive syntax agent
被代表	bèi dàibiǎo	to have one's views "represented" without consent	代表 dàibiǎo (to represent; a representative). 被代表 = someone else speaks for you without your authorization and claims to represent your interests or views.	passive syntax agent
被动	bèidòng	passive		movement motion energy characters passive syntax agent
被发现了	bèi fāxiàn le	was discovered; got caught (typically unwanted)	Discovery can be neutral or positive in English (a new species was discovered), but in Chinese the 被 frame typically implies the subject was caught or uncovered against its will or to its disadvantage. 被发现 often implies that someone was hiding something that has now been exposed.	passive syntax agent
被误解了	bèi wùjiě le	was misunderstood (adversarial — not one's intention)	Misunderstanding, misrepresentation, and mistreatment are quintessential 被 territory. The speaker's intention or the subject's nature is distorted by someone else's interpretation. The adversarial quality is strong , no one wants to be misunderstood.	passive syntax agent
被自杀	bèi zìshā	to be "suicided" — killed and declared a suicide	The most striking 被XX neologism. 自杀 zìshā means "to kill oneself" , a self-directed, voluntary act. Making it passive (被自杀) creates a grammatical impossibility that points to a political reality: a death classified as suicide that was, in the speaker's understanding, not self-chosen.	passive syntax agent
奔跑	bēnpǎo	to dash; to run hard; to gallop	奔 (bēn, to rush; to gallop) + 跑. A more vivid and literary form than plain 跑. 奔 originally described the gallop of a horse; 奔跑 carries that sense of full-speed exertion.	motion body daily-life
本草	běncǎo	Materia medica	Materia medica: the traditional term for the pharmacological literature and its subject matter.	medicine science history tcm technology
本草纲目	běncǎo gāngmù	the materia medica		health medicine daily-life body vocabulary chemistry science technology translation biology nature life wuxing five-phases cosmology philosophy tcm yin-yang history ancient culture
本纪	běnjì	Basic Annals — rulers and dynasties	Twelve chapters chronicling the central line of power: the legendary sage-kings, the Xia, Shang, and Zhou, the Qin, and the Han emperors down to Wu.	classics history han literature ancient biography
本来	běnlái	originally; at first; (it goes without saying that)	本 běn (root; origin) + 来 lái (come). What was the case from the start, before things changed: 我本来想去 "I originally meant to go (but didn't)." It often carries a quiet sense that the original state was the natural or proper one.	nature meaning measure-words characters grammar copula logic knowing daoism philosophy virtue vocabulary adverb communication rhetoric
本领	běnlǐng	skill; capability		mastery ability evaluation characters modal permission time martial-arts
本人	běnrén	oneself; the person in question; I (formal)	本 běn (this; one's own) + 人 rén (person). The very person concerned, as opposed to a representative or a rumor. On forms and in formal speech it means "I myself": 本人同意 "I personally agree."	nature meaning measure-words characters
本事	běnshi	ability; skill; what one is capable of	本 běn (root; one's own) + 事 shì (matter). The capacities a person carries in themselves, their real skill rather than their luck or connections: 有本事 "to have what it takes." A close synonym is 本领 běnlǐng.	nature meaning measure-words characters
本土	běntǔ	native; local; indigenous; domestic	本 běn (root; origin; this) + 土 tǔ (soil; native place). Native, local, domestic, contrasted with 外来 wàilái (from outside) or 进口 jìnkǒu (imported). 本土品牌 = domestic brand. 本土文化 = local culture.	cosmology culture history
本性	běnxìng	innate nature; one's true nature	本 běn (root, origin) + 性 xìng (nature). The nature one is born with, deep and hard to change: 本性善良 "good-natured at the core." Often invoked when surface behavior gives way to what a person really is, as in 本性难移, that one's nature is hard to alter.	human-nature identity mind characters
本质	běnzhì	essence		nature meaning measure-words characters chengyu classical idioms aesthetics learning
本子	běnzi	notebook; exercise book; pad	本 běn (volume) + 子 zi (suffix). A blank or ruled book to write in. Here 本 takes the toneless noun-suffix 子, exactly as in 桌子 and 房子.	nature meaning measure-words characters
