#fields:Hanzi	Pinyin	English	HSK	Radical	Notes	Tags
爱	ài	love, to love, to cherish	1	爫	Love in all its forms: romantic, familial, and the Confucian ethic of universal benevolence.	emotion romance confucianism
菜	cài	vegetable, dish, cuisine	1	艹	Plants gathered to be eaten. From the picked greens grows a whole table: the vegetable, the cooked dish, the regional cuisine, and the slangy put-down for anyone weak at a task.	food culinary daily-life characters
茶	chá	tea	3	艹	The character that gave the world its word for tea: a grass over wood over man, a plant that shaped civilization, and the locus of China's richest material culture.	tea culture nature drink
产	chǎn	to produce, give birth, property, output	3	亠	From birth to bounty: a character that spans biological generation and industrial output, linking the miracle of birth to the logic of production and wealth.	economy commerce production birth
常	cháng	constant, ordinary, often	1	巾	A long banner of cloth that came to mean what endures: the constant and the lasting, the ordinary and the common, and the things that happen again and again.	timing daily-life meaning characters
成	chéng	to become, succeed, accomplished	2	戈	A halberd standing guard over a finished task. From that image grows the whole field of completion: to become, to succeed, to accomplish, the ready-made and the mature, and even the colloquial yes that settles a matter.	meaning evaluation change characters
吃	chī	to eat	1	口	To eat, and the extraordinary range of Chinese life encoded in a single food verb.	food daily-life culture
出	chū	to exit, to emerge, to produce	2	凵	出 is two plants growing upward out of the earth: emergence itself written as a glyph, from physical exits to publication to standing out from the crowd.	motion direction daily-life
词	cí	word, term, diction, the sung lyric	2	讠	Speech beside a phonetic 司: the unit we call a word, the wording a speaker chooses, and the classical lyric form that grew up beside regulated verse to be sung to set tune-patterns.	language literature communication characters
打	dǎ	to hit, to strike; the most versatile verb in Mandarin	1	扌	To hit, and a hundred extensions: make a call, play a sport, pack a bag, get an injection. The most productive light verb in Chinese.	daily-life grammar culture
大	dà	big, great, large	1	大	Big, great, large: a person with arms wide open, the original measure of magnitude.	cosmology scale daily-life
当	dāng	to be, just at, ought; (dàng) appropriate, to treat as	2	⺌	A high-frequency polyphone with two readings. As dāng it means to serve as, to be at a given time or place, and ought to; as dàng it means appropriate, to treat something as, and to pawn. The tone tells you which sense is in play.	meaning timing society characters
到	dào	to arrive, to reach; to	2	刀	As a resultative complement suffix, 到 converts any action verb into a claim of completion: 听到 means not just hearing but hearing that arrived, perception proven by contact.	motion grammar daily-life
道	dào	way, path	3	辶	The word that gave Daoism its name, and underlies every Chinese 'ism'.	daoism philosophy path
德	dé	virtue, moral power	4	彳	Virtue not as rule-following but as accumulated moral power: what radiates from a person whose conduct has been straight long enough to become second nature.	confucianism daoism ethics virtue philosophy
地	dì	earth, ground, land	1	土	Heaven above, earth below: the second power of the cosmos, and the root of every word about place, ground, and belonging.	nature geography
低	dī	low; to lower; to bow down	3	亻	A person stooping: the phonetic 氐 gives the sound while the human radical supplies the posture, and together they built one of the most culturally loaded words in modern Chinese.	adjectives daily-life scale degree
第	dì	the ordinal prefix, rank, mansion	1	⺮	Bamboo over younger-brother, an image of things laid out in sequence. From it grows the prefix that turns a count into an order, plus the older senses of examination rank and grand residence.	meaning education characters grammar
点	diǎn	dot, point, a little, o'clock	1	灬	From a single dot of ink the character spreads into points and decimals, into the hours of the clock, into ordering food and lighting a flame, and into the small quantity that softens a sentence.	measure-words time food characters
电	diàn	electricity, electric, telegram	2	雨	Lightning descending from a rain cloud, a character that jumped from describing the weather to naming the force that defines modern civilization.	culture daily
定	dìng	to fix, settle, decide, surely	2	宀	A settling element coming to rest under a roof. From that image of a thing made still and fixed in place grows the whole field of 定: to decide, to set, the fixed and stable, the certain and sure.	meaning timing evaluation characters
东	dōng	east; eastern	1	一	The sun rising behind a tree, and the direction that anchored China's cosmological, political, and poetic imagination.	directions nature cosmology
动	dòng	to move, to act, to stir	1	力	Force applied to a thing sets it in motion. From that one idea grow the words for sport and activity, for the stirred heart, for the drive that pushes a machine or a life forward, and for the verb itself.	movement motion energy characters
读	dú	to read aloud, to study	1	讠	Reading as the act of voicing what is written: the everyday verb for studying, declaiming a text, and (figuratively) interpreting a person, a situation, or a sign.	learning language education
多	duō	many; much; more; how	1	夕	Two evenings stacked: the character that encodes abundance, comparison, and the most common question about quantity in Mandarin.	adjectives scale grammar
而	ér	and, but, yet (a classical connective)	2	而	A pictograph of a beard, borrowed early as one of the busiest function words in literary Chinese. 而 links clause to clause as and, but, or yet, ties manner to verb, and frames set phrases like 而且 and 而已.	conjunction cohesion classical characters
耳	ěr	ear; to hear; handle	4	耳	The pictograph of an ear that anchors Chinese words for listening, fame, and the furred handles on bronze vessels.	body perception radical
二	èr	two; second	1	二	The number two encodes the foundational split that drives all of Chinese cosmology: yin and yang, the two forces from which everything else unfolds.	cosmology philosophy daoism yin-yang grammar vocabulary
发	fā	to send out, to develop, hair	2	又	One simplified glyph that swallowed two traditional characters. 发 carries the fa reading of sending, emitting, and developing (traditional 發) and the fa reading of hair on the head (traditional 髮).	meaning change body characters
法	fǎ	law, method, the Dharma	2	氵	Water against the level mark. From that image of fair, flowing measure grows the whole field of 法: the law and the court, the method and the way of doing a thing, and the Buddhist Dharma itself.	legal religion meaning characters
方	fāng	square, direction, method	1	方	One glyph that runs from the literal square to the cardinal directions, to the place a thing sits, to the method by which it is done. The geometry of orientation and approach.	space geometry meaning characters
非	fēi	not, wrong, un-	1	非	Two wings spreading in opposite directions: from that image of opposition grows the great negator. Not and non-, the line between right and wrong, and the un- prefix that turns a word against itself.	negation logic meaning characters
分	fēn	to divide, minute, point, cent	1	刀	A knife splitting a thing in two. From the cut grows everything that comes in parts: the minute on the clock, the point on a test, the cent in your pocket, and the act of separating itself.	time meaning measure-words characters
风	fēng	wind; style; custom	3	风	The character that moves crops, carries seeds, and became the Chinese word for cultural character itself.	nature culture cosmology
佛	fó	Buddha, the awakened	5	亻	The character that carried an entire worldview across the Silk Road: etymology, Buddhism, the 佛-family of compounds.	religion buddhism culture
福	fú	fortune, blessing, good luck	3	示	The most recognized Chinese character in the world: fortune, blessing, and the art of the upside-down 福.	culture new-year symbolism
感	gǎn	to feel, to resonate	[object Object]	心	Feeling, perception, gratitude, and the cosmology of sympathetic resonance.	emotion perception gratitude
高	gāo	tall; high; elevated; surname	2	高	A tall palace gate rising above the ground, and the character that anchors Chinese words for excellence, happiness, and examination pressure simultaneously.	adjectives scale
告	gào	to tell, to announce, to report	3	口	A mouth aimed upward: the character for delivering words to authority, and the root of advertising, accusations, and warnings.	communication legal media
个	gè	the universal measure word, individual	1	丨	The general-purpose measure word that counts almost anything, and the root of individual. From the bamboo-stalk tally grew the everyday classifier 一个 and the words for individual, personality, and build.	measure-words society meaning characters
更	gèng	even more; to change; night watch	2	曰	A character that split across two readings: the comparative pulse of spoken Mandarin and the sonic clock of premodern China.	grammar adverb comparison degree timing classical
工	gōng	work, craft, labor, worker	2	工	Three strokes encoding heaven, earth, and the human craft connecting them: the root character for all labor, skill, and making in Chinese.	culture history
公	gōng	public, fair, common, a duke, male	2	八	A line dividing away the private self. From that image grow everything held in common, every fair dealing, the metric measures, and the elder male: public, impartial, official, and a duke.	society ethics meaning characters
故	gù	reason; old; deliberately; therefore	2	攵	故 binds five senses into one glyph: cause, the old and former, deliberateness, the literary "hence," and the deceased. The thread is a settled cause behind what is done or what has passed.	meaning history memory characters
关	guān	to close, to concern, the frontier pass	1	丷	The bolt that closes a gate, the mountain pass that controls a frontier, and the relation that ties two people together. One character holds all three.	change connections social
广	guǎng	wide, broad, to spread	4	广	A radical and a word: the cliff-shelter that became the prefix for everything expansive, from Guangzhou to Guangdong to radio broadcasts.	space geography media
鬼	guǐ	ghost, the wandering dead	6	鬼	A pictograph of a spirit with an oversized head: the disembodied soul of the unvenerated dead, a folk-religion category distinct from deity, demon, and ancestor.	folk-religion religion culture classical symbolism ancestors
国	guó	country, nation, state	1	囗	A walled enclosure protecting its people: the Chinese concept of nationhood written in a single character.	politics society culture
汉	hàn	the Han river, dynasty, people, and a man	1	氵	A river that named a dynasty, and a dynasty that named a people. From the water of 汉水 grew 汉族 the Han ethnicity, 汉语 and 汉字 the Chinese language and script, and 好汉, the brave fellow.	history language identity characters
好	hǎo	good; to like	1	女	Good, well, to like, and the tone split that doubles its expressive range.	virtue social daily-life
合	hé	to join, combine, suit, close	2	口	A lid closing down over the mouth of a vessel. From that image of two parts meeting and fitting grows the whole field of joining, suiting, closing, and adding up into a whole.	connections society meaning characters
和	hé	harmony, and, with; peace	1	禾	和 carries the same concept across grammar and philosophy: grain and mouth together, the harmony of shared food and speech, a character that serves as both everyday conjunction and the Confucian ideal of a well-ordered world.	confucianism social grammar philosophy
黑	hēi	black, darkness, and the illicit	2	黑	Black on the surface, but the live sense is moral: the black market, the underworld, the hacker. The color that names everything that operates out of sight.	color darkness symbolism
很	hěn	very; the empty intensifier	1	彳	很 is the word for very, but its strangest job is doing nothing: Chinese needs a degree adverb before a plain adjective, and 很 fills that slot so quietly that 我很好 means simply I am fine, not I am very well.	grammar daily-life language
红	hóng	red, the color of luck and celebration	2	纟	The cultural keystone color: weddings, New Year, the red envelope, and a century of revolutionary politics all run through this one character.	color culture symbolism
后	hòu	back, behind, after; empress	1	口	One simplified character collapsed two completely separate traditional forms: 後 (a trailing foot in motion) and 后 (a commanding mouth), binding the spatial sense of behind with the imperial sense of empress in a single glyph.	direction time royalty grammar
候	hòu	to wait, time, season, climate	1	亻	A person standing watch beside the road. From the figure of one who waits and watches grows the everyday word for when (时候), the act of awaiting (等候), and the long rhythm of the weather (气候).	time weather daily-life characters
花	huā	flower, to spend, patterned	1	艹	A plant caught in its transformed, blooming state: the flower, the act of spending money or time, and the patterned, fancy, or blurred. One glyph that runs from the garden to the wallet to the dazzled eye.	nature culture meaning characters
画	huà	to draw, a painting, a stroke	2	田	A hand with a brush drawing the boundaries of a field. From that image grows the whole world of pictures: to paint, a painting, and the single stroke of a character.	arts calligraphy culture characters
话	huà	words, speech, talk, language	1	讠	Speech beside a tongue: the everyday character for spoken words. From it grow talking and conversation, the telephone, a dialect or standard language, and the topics and sayings people pass around.	language communication spoken characters
欢	huān	joy, merry, to be pleased	1	欠	A breath of open delight: the hand and the open mouth that make laughter. From this glyph come joy and merriment, to like and to welcome, and the lively, high-spirited mood.	emotion culture characters feeling
回	huí	to return, to turn back, a time	1	囗	Two squares nested like a coiling eddy. The character for coming back: returning home, turning around, replying, and counting the times a thing happens.	motion meaning measure-words characters
火	huǒ	fire, flame, anger, popularity	1	火	Three flames rising: the character for fire and one of the most productive radicals in Chinese.	nature radical energy
记	jì	to remember, to record, a mark	1	讠	Speech set beside the self: the act of fixing something so it will not be lost. From that image grow three senses: to remember, to write down, and the mark left behind.	memory communication meaning characters
家	jiā	home, family	1	宀	House, family, school of thought, nation (国家): the fractal of belonging.	family society home
间	jiān	space between, interval, room	1	门	Sunlight in the crack between two doors: the character for the space between things. From that gap grow time, the middle ground, the human world, and the room you count one by one.	time space measure-words characters
见	jiàn	to see, to meet, to appear	1	见	An eye on legs. The character that built Chinese verbs of seeing, meeting, opinion, and the moment a thing first comes into view.	perception knowing daily-life
件	jiàn	item, piece, measure word	2	亻	The measure word for matters, garments, and gifts, and the character behind documents, parts, and cases.	measure-words things meaning characters
角	jiǎo	corner, horn, angle	[object Object]	角	Corner, horn, angle: the character that opens this site's name (角落書屋).	space geometry music
脚	jiǎo	foot, base	3	⺼	The everyday word for foot, and by extension the base of any standing thing: a mountain, a wall, a script. The flesh-and-bone counterpart to literary 足.	body movement space
教	jiào	to teach, teaching, religion	1	攵	A hand with a rod beside a child at the lesson. From that scene of instruction grows a wide field: to teach and educate, to teach a skill in the spoken jiao reading, and the teaching that became the word for religion.	education religion society characters
节	jié	joint, node, festival, to economize	2	艹	A bamboo joint, the segment between the knots. From that node grows everything that comes in sections: the joint of a limb, the chapter of a book, the festival that knots the calendar, and the restraint that keeps a thing within bounds.	festival calendar daily-life characters
金	jīn	gold, metal, money	3	金	Nuggets of gold beneath the earth, and one of the Five Phases that governs autumn, the west, and sharpness.	nature radical wuxing
近	jìn	near; close; recent	3	辶	Walking toward something as close as a hatchet strike, and the character that covers both spatial proximity and the specific historical era Chinese scholars call the modern period.	direction geography daily-life history
进	jìn	to enter, to advance, to take in	1	辶	A foot on the road and a bird that only ever walks forward. From that image grows everything that moves ahead and moves in: to enter, to advance, to progress, to carry out, and to take goods in.	motion meaning direction characters
经	jīng	classic, scripture, to pass through, warp threads	2	纟	The lengthwise warp threads strung on a loom, the structural through-lines that hold a fabric together. From that image grow the canonical classic, the act of passing through, and the running of an enterprise.	classics commerce meaning characters
九	jiǔ	nine; the imperial number and the highest of the yang	1	乙	Nine is the largest single digit and the highest yang number, reserved for the emperor and the heavens: nine dragons, nine gates, the Nine-Five supreme position, the ninth heaven.	cosmology culture language
旧	jiù	old; used; former; worn	4	日	The antonym of 新, and much more than it. 旧 carries both the weight of cherished tradition and the stigma of backwardness, depending entirely on who is speaking.	history change classical daily-life
句	jù	sentence, phrase, a unit of speech	2	口	A wrapping line drawn over a mouth: speech bundled into a single unit. From that image grows the sentence, the line of verse, and the measure word that counts the remarks we say.	language literature communication characters
开	kāi	to open, to start, to operate	1	廾	Two hands lifting the bar across a closed gate. From that single image flow most of modern life: opening a door, starting a meeting, driving a car, writing a check, blooming.	change motion daily-life
看	kàn	to look, to watch, to read, to visit	1	目	看 = hand above eye, shielding from the sun to see in the distance: visual attention with effort, encoded in a gesture everyone has made.	perception daily-life grammar
可	kě	can; may; worth; quite	2	口	A two-stroke mouth character whose ancient sense of affirming breath became the pivot of permission, capability, and worth in classical and modern Chinese.	grammar modal ability permission classical syntax
空	kōng	empty, sky, void; in vain	3	穴	A cave with the work of hollowing inside it. The character that names the open sky, the empty room, the wasted afternoon, and the Buddhist śūnyatā at the heart of Chan.	buddhism philosophy cosmology chan meditation
口	kǒu	mouth, opening, entrance	3	口	A simple rectangle for an open mouth: one of the most productive radicals in the script, present in hundreds of characters for speaking, eating, and openings.	body culture
跨	kuà	to stride; to span; to bestride	4	足	The character of the long stride: a foot-radical verb that reaches from "step over a threshold" to "span an era" to the modern policy vocabulary of cross-border, cross-industry, cross-cultural everything.	movement border modern
快	kuài	fast, happy	2	忄	One character carries two meanings that turn out to be the same thing: speed and joy both feel like the heart cutting loose.	emotion daily-life adjectives
来	lái	to come, to arrive, toward the speaker	1	木	Oracle bone wheat plant turned direction-word: 来 pulls everything toward the speaker, including time itself.	direction motion grammar
老	lǎo	old, venerable, experienced	2	老	A stooped elder with long hair: age as wisdom, seniority as moral authority, and the Daoist sage who wrote the Daodejing.	confucianism family culture philosophy
乐	lè	happy, joyful (lè); music (yuè)	2	丿	A picture of a wooden frame strung with silk and a drum, an early musical instrument. The simplified 乐 carries two readings: yuè for music, the original sense, and lè for joy, the happiness that music gives.	emotion music culture characters
雷	léi	thunder, the Arousing	5	雨	Rain over fields struck by lightning: the ancient pictograph of thunder that became a deity, a Yijing trigram, and a metaphor for decisive force.	nature cosmology religion gods wuxing
礼	lǐ	rites, ceremony, propriety	4	礻	The character that encodes Confucian social order: the ceremonial forms that bind family, society, and cosmos into one coherent whole.	confucianism radical culture
里	lǐ	inside, within; Chinese mile	1	里	From field stacked on earth, 里 named the bounded cultivated interior of a settlement and became the unit of distance that measured the realm's interior reach.	direction space daily-life geography
理	lǐ	principle, reason, to manage, texture	2	王	The veins running through a piece of jade, the lines a carver follows when cutting. From that grain grows everything ordered: the inner pattern of things, principle and reason, and the work of putting a matter in order.	principle philosophy meaning characters
力	lì	strength, power, force, effort	2	力	A picture of a plough or a flexed sinew, the image of bodily exertion. From that one shape grows everything pushed by force: raw strength, the capacity to do, and the effort poured into a task.	energy ability meaning characters
两	liǎng	two (of); a pair; the tael, the other word for two	2	一	两 is the two used before measure words, the two of quantity and pairing, as opposed to 二 the two of counting and order, a distinction that is one of the first real puzzles a learner meets.	language grammar daily-life
量	liàng	quantity, capacity; to measure	2	里	商量 shangliang, to discuss, is literally to measure something out together: the act of weighing it between two minds before anyone decides.	measure-words evaluation meaning characters
零	líng	zero; raindrops, the fractional remainder, and the late invention of nothing	2	雨	Zero began as falling raindrops and the leftover odd remainder, taking on the meaning of mathematical nothing only late, the placeholder that Chinese numerals long managed without.	language science cosmology
六	liù	six; the six directions; a smooth and lucky number	1	八	Six closes space into the six directions (the four compass points plus up and down) and, through its near-homophony with 流 liú (to flow), became a number for things going smoothly.	cosmology space language
龙	lóng	dragon, the imperial symbol	3	龙	China's most powerful mythic creature: benevolent, not fearsome; the emperor's emblem and the Chinese people's self-described totem.	culture history
路	lù	road, path, route	2	足	The walked road, where 道 is the navigated way: 路 is the surface beneath the foot, the route the messenger takes, the journey of a life measured in distance.	path directions movement
论	lùn	to discuss, a theory or treatise	2	讠	Reasoned speech put in order: the verb for discussing, debating, and commenting, and the noun for a theory, a view, or a treatise. Also Lun in the title of the Analects.	communication rhetoric language characters
落	luò	to fall, to settle, to land	[object Object]	艹	Falling, settling, and the beauty of things arriving at their place.	movement space settlement
慢	màn	slow, unhurried	3	忄	Pace becomes a moral register: 慢 màn carries the same heart radical as 快, and extends from physical slowness into social neglect and arrogance.	emotion daily-life adjectives
美	měi	beautiful, USA, delicious	2	羊	A large sheep carrying horns: beauty as abundance, sacrifice, and the pleasure of the highest good.	aesthetics culture philosophy
门	mén	door, gate, family, field	1	门	A picture of a two-leaf gate. From the swinging doors grow the gateway, the household behind them, the school or trade you enter, and the measure word for whole courses of study.	dwelling meaning measure-words characters
面	miàn	face, surface, side	1	面	A pictograph of a face inside its outline that opened outward into surfaces, sides, and aspects, became a measure word for flat things, and in simplified script swallowed the separate character for flour and noodles.	perception society space food
名	míng	name, fame, reputation	1	口	名 is 夕 dusk plus 口 mouth: darkness falls, you cannot see who approaches, so you call out a name. Identity asserted through speech.	confucianism language social names
明	míng	bright, clear, tomorrow	2	日	Sun and moon combined: brightness, clarity, dawn, and understanding.	light clarity time
命	mìng	life, fate, command	4	口	A mouth speaking an order: 令 above, 口 inside. The character that holds together three of the heaviest words in Chinese: life, destiny, and the command from above.	philosophy fate life classical ethics
木	mù	tree, wood	1	木	A tree seen whole: trunk, branches, roots. The pictograph that became a radical, a wuxing element, and the building block of 林, 森, 本, and 末.	radical nature wuxing cosmology
目	mù	eye; to look at; section heading	4	目	The pictograph of an eye that became the Chinese radical for everything seen, watched, and classified.	body perception radical
南	nán	south; southern	2	十	The direction that Chinese buildings face and emperors receive guests: warmth, productivity, and the seat of imperial ritual power.	directions nature cosmology
你	nǐ	you	1	人	The everyday second-person pronoun whose formal twin 您 embeds 心 (heart) directly into the character: address with warmth.	grammar social courtesy
年	nián	year	1	干	A person carrying a harvest of grain: year as the cycle of agricultural labor, and the heart of the Chinese New Year tradition.	culture history cosmology
念	niàn	to recite, to keep in mind, to miss	3	心	念 holds the present moment 今 over the heart 心: to keep something in mind, to recite aloud, to long for what is absent. The 念 of 念佛 recitation, 想念 longing, and the single thought-moment of Buddhist psychology.	mind memory buddhism mindfulness recitation
女	nǚ	woman, female	2	女	A kneeling figure with crossed arms: one of the most productive radicals in the script, present in characters for family relationships, feelings, and cultural concepts.	family culture body
跑	pǎo	to run; to flee; to operate	2	足	The everyday verb of running: a foot-radical character whose semantic range stretches from "the legs in motion" to "running an errand" to "the engine is running" to a small but productive family of escape-and-flee compounds.	motion body daily-life
品	pǐn	article, grade, character, to taste	3	口	Three mouths stacked: a character about multiplicity, evaluation, and the discerning assessment of quality, from product grades to moral character.	evaluation quality culture commerce
平	píng	flat, level, even, peaceful, ordinary	2	广	A pictograph of something level and balanced. From that flat surface grows a wide field of meaning: the even and the smooth, the equal and the fair, the calm and the peaceful, and the plain and ordinary.	meaning evaluation quality characters
七	qī	seven; the rhythm of mourning, festival, and the soul	1	一	Seven measures the cycles of death and renewal in Chinese culture: the seven-day periods of mourning, the seventh-night lovers' festival, and the seven emotions of the heart.	cosmology culture language
其	qí	its, that, their	4	八	A winnowing basket that became the pronoun holding classical Chinese together: the silent 'its' behind thousands of literary phrases.	grammar classical literary particle language
气	qì	breath, vital energy	3	气	From weather to anger to the cosmic force underlying TCM and martial arts.	cosmology tcm energy
千	qiān	thousand; a vast, uncountable many	2	十	Thousand is the order of magnitude where a precise count gives way to poetic vastness: a thousand miles, a thousand autumns, ten thousand changes, the number that means simply too many to count.	language literature cosmology
前	qián	front, before, forward; former	2	刀	Chinese places the past in front (前) and the future behind: the known faces you while the unknown approaches from behind, the inverse of the English spatial metaphor for time.	direction time philosophy grammar
钱	qián	money, coin, currency	1	钅	Money: the character that drives markets, proverbs, and the Chinese conversation about wealth.	daily-life economy culture
清	qīng	clear, clean, pure, quiet	2	氵	Water beside the color of new growth. The character that names limpid water, distinct speech, a clean reputation, a settled account, and a cool quiet evening.	clarity nature meaning characters
情	qíng	feeling, affection, situation	2	忄	The heart radical beside the phonetic 青: the movements of the heart. From that one image grows feeling and mood, affection and love, and the wider sense of a situation or state of affairs.	emotion mind romance characters
去	qù	to go, to leave, to depart, to remove	1	厶	The character that marks every departure, from leaving the house to the euphemism for death. 去 is the verb of things moving away.	direction motion grammar
然	rán	so, thus, the -ly manner suffix	2	灬	A character that once meant to burn and was borrowed for the abstract sense so, correct, this-is-how-it-is. Today it builds the connectives 然后 and 然而, the conjunctions 当然 and 虽然, and rides as a -ly suffix on words like 忽然 and 突然.	logic cohesion meaning characters
人	rén	person, humanity	1	人	The character for human being, and its echo in 仁 rén, Confucian benevolence.	humanity confucianism radical
仁	rén	humaneness, the kernel of human relation	5	亻	The character that anchors Confucian ethics: 亻 + 二, the self in relation to another. Etymology, the virtue-cluster compounds, and the seed-kernel sense that links moral and botanical 仁.	confucianism ethics virtue philosophy
认	rèn	to recognize, to acknowledge	[object Object]	讠	The act of recognition: knowing something for what it is, owning up to it, and the small set of compounds that turn this on the world, on others, and on oneself.	knowing mind ethics
日	rì	sun, day, Japan	2	日	The oldest pictograph in the script: a circle with a dot for the sun, now a radical in hundreds of characters related to time, light, and warmth.	culture history cosmology
如	rú	like, as, if, according to	2	女	A woman speaking and a mouth complying: from following a command grew the great comparison-and-condition word. 如 is how Chinese says like, as, for example, and if.	comparison conditional cohesion characters
三	sān	three; thrice; repeatedly	1	一	Three is the number of completion in Chinese cosmology (Heaven, Earth, Human), and the numeral that generates the ten thousand things in Daoist thought.	cosmology philosophy language
色	sè	color, appearance, desire	2	色	A kneeling figure beneath a person: color as visible manifestation, and the character that links aesthetics to desire.	aesthetics culture color philosophy
山	shān	mountain, hill, sacred peak	1	山	Three peaks rising from the earth: the oldest pictograph and the axis of Chinese sacred geography.	nature geography sacred
善	shàn	goodness; virtue; skilled	4	口	The character at the heart of Mencius argument that human nature is originally good: the moral sprouts waiting to be cultivated.	ethics virtue confucianism human-nature philosophy buddhism taoism
上	shàng	above, up, to go up, to mount	1	一	The most productive spatial primitive in Chinese. 上 starts as a notch above a line and ends up meaning everything from logging on to getting addicted.	direction grammar motion
少	shǎo	few; little; young	1	小	Small with a stroke removed: the character for scarcity that doubles as the word for youth when read in falling tone.	adjectives scale grammar
神	shén	spirit; deity; divine	3	示	The character that names both the gods of Chinese folk religion and the focused attention of the human mind, because in Chinese thought they belong to the same category of phenomenon.	religion folk-religion gods philosophy taoism cosmology mind energy
生	shēng	life, birth, raw, student	1	生	A sprouting plant: life emerging from the earth. The most generative radical in Chinese.	life radical biology
声	shēng	sound, voice, tone, reputation	2	士	A chime-stone struck before a listening ear. From that image grow the everyday word for sound and voice, the tone of speech, and the wider sense of making something known: a declaration, a reputation, a name.	phonology perception communication characters
十	shí	ten; complete; cross	1	十	十 is written as a cross (a vertical stroke cutting through a horizontal one), the point where all four cardinal directions meet, making ten the numeral of total completion.	language cosmology science
时	shí	time, hour, season	1	日	The sun moving: time as something visible, measurable, and morally weighted.	time daily
实	shí	real, solid, true, actual	2	宀	A roof over a house full of goods. From that image of a full dwelling grows everything substantial: the real and the true, the solid and sturdy, the actual practice that gets things done, and the ripened fruit.	meaning evaluation quality characters
事	shì	matter, affair, thing-that-happens	1	亅	The character for an affair, a matter, a thing that happens. From an ancient pictograph of a hand holding the implements of office, it became Chinese for everything abstract that occupies us: business, jobs, incidents, and the everyday "no problem."	society daily-life meaning characters
是	shì	to be	1	日	The copula, the cleft construction, classical 是非 right-and-wrong.	grammar copula logic
手	shǒu	hand	2	手	A five-fingered hand drawn from life: one of the most productive radicals in the script, present in hundreds of action characters.	body culture
书	shū	book, writing, letter	[object Object]	乛	Book, writing, calligraphy: the character that holds civilization together.	literacy culture calligraphy
水	shuǐ	water	1	水	The first of the five elements, the radical that runs through hundreds of compounds, and the Daoist image of how to act in the world.	radical cosmology daoism wuxing
说	shuō	to speak, to say, to explain	1	讠	To speak, say, explain, and persuade: the character at the center of all communication.	language communication rhetoric
思	sī	to think, to miss, thought	3	心	The field of the mind above the heart: thinking as cultivation, longing as thought turned inward.	mind emotion
死	sǐ	death, to die, dead, fixed	4	歹	A figure kneeling beside a corpse. The character behind the strongest verb of finality in Chinese, the bedrock of every taboo, and the intensifier that turns 累 into 累死了.	life ritual culture symbolism daily-life
四	sì	four; the four directions; the homophone of death	1	囗	Four organizes the Chinese world into quarters, the four directions, four seas, four seasons, yet its near-homophony with 死 sǐ (death) makes it the most avoided number in modern China.	cosmology space language
他	tā	he, him; another	1	人	他 was gender-neutral for a millennium until 她 was coined in 1917 to solve a translation problem that Classical Chinese had never needed to solve.	grammar humanity social modern
它	tā	it; the non-human third person	2	宀	它 began as a picture of a snake and once meant other; in the twentieth century it was reassigned to the non-human third person, completing the homophonous 他/她/它 triad that exists only in writing.	grammar language modern
她	tā	she, her	1	女	她 is the youngest character in everyday Chinese, invented in 1917 to translate "she," and the cause of one of the loudest grammatical fights in modern Chinese letters.	grammar modern social language
