#fields:Hanzi	Pinyin	English	HSK	Notes	Tags
工夫茶	gōngfu chá	Gongfu Tea		Tea prepared with skill and time: the Southern Chinese brewing method that defines serious tea culture, built on small vessels, multiple short steeps, and total attention.	tea ceremony brewing culture daily-life
工作	gōngzuò	work, job		The everyday word for work, both the activity and the job itself, and how it differs from 上班 (to go to work), 职业 (occupation), and 事业 (career).	vocabulary daily-life society communication
功夫	gōngfu	effort, skill over time		Mastery earned through time: martial arts is the paradigm case, but the word covers any deeply cultivated skill.	mastery time martial-arts
故事	gùshì	story, tale, narrative		Old affairs made into meaning: how the Chinese word for story encodes a philosophy of the past as the source of truth.	culture history literature
关系	guānxi	relationship, connections		The untranslatable social fabric: relational leverage, it matters.	social connections culture
国家	guójiā	nation; state; country		A compound of the two most culturally loaded characters in Chinese: country and family, that encodes the Confucian political imagination in two syllables.	politics society confucianism history
汉字	hànzì	Chinese characters		The world's oldest continuously used writing system: how Chinese characters work, why they look the way they do, and the categories every learner needs to know.	culture history education literature
江湖	jiānghú	rivers and lakes		The outsider world of wanderers, martial artists, and street wisdom.	wuxia culture society
江山	jiāngshān	rivers and mountains, the realm		The classical Chinese word for the nation: not a territory but a landscape; not a state but a living geography that dynasties rose and fell to possess.	history politics geography
节气	jiéqì	the 24 solar terms		China's ancient agricultural calendar: 24 precise moments that mark the turning of the year, still shaping food, medicine, and daily life.	culture history tcm cosmology
京剧	jīng jù	Peking Opera		China's preeminent performing art: a total synthesis of song, stylized speech, acrobatic movement, and martial performance that evolved in Beijing during the Qing dynasty.	culture arts history
觉得	juéde	to think, to feel		The everyday verb for giving an opinion or impression, and how it differs from the more formal 认为 and from 想 (to want / to think over).	vocabulary feeling communication daily-life
君子	jūnzǐ	the exemplary person		The Confucian moral ideal that replaced aristocratic birth with cultivated virtue as the basis of social authority: anyone who does the work of 仁义礼智信 qualifies.	confucianism ethics virtue analects
客气	kèqi	politeness, ceremony		The polite manners owed to guests: and the gentle dance of refusal, insistence, and ritual modesty that runs through every Chinese social interaction.	social culture courtesy connections
跨越	kuàyuè	to leap across, to span, to transcend		The compound that lets the Chinese language span gaps: physical, historical, technological, generational. The verb of choice when "越长城" is read figuratively.	movement border modern
礼	lǐ	ritual, propriety, gift, courtesy		The cosmic blueprint Confucius spent his life trying to restore: and why manners are a civilizational technology.	confucianism ritual social philosophy
礼貌	lǐmào	politeness, courteous manner		The everyday word for politeness: what 礼 (ritual propriety) becomes when it is shrunk down to the scale of ordinary social life. Polite forms, polite faces, and the precise way modern Chinese distinguishes 礼貌 from 客气, 礼节, and the older 礼 itself.	courtesy etiquette social daily-life
历史	lìshǐ	history		The character for historian shows a hand holding a brush over a vessel: in ancient China, the scribe who held the brush held power.	history culture writing literature classical learning
良心	liángxīn	conscience; innate moral sense		The good heart-mind: the Chinese word for conscience carries a philosophical claim that moral knowledge is a natural endowment, not an acquired rule.	ethics virtue confucianism human-nature philosophy mind wang-yangming
轮回	lúnhuí	samsara; the cycle of rebirth		The Buddhist karmic wheel that turns through six realms of existence: the foundational concept that motivates all Buddhist practice as a path toward liberation.	buddhism religion philosophy cosmology classical fate life
论语	Lúnyǔ	The Analects of Confucius		The Analects: a thin book of recorded conversations and sayings that became the most quoted text in East Asian civilization, the entry point to Confucian thought, and the textbook of imperial education for two thousand years.	confucianism classics philosophy literature analects confucius
面子	miànzi	face, honor		Giving, losing, and saving face: the social grammar of dignity.	social honor culture
命运	mìngyùn	fate, destiny		Fate, destiny, and the tension between cosmic order and human will.	fate philosophy cosmology
涅槃	nièpán	Nirvana; the extinction of craving and the end of rebirth		涅槃 is the Buddhist soteriological terminus: the extinction of the fires of greed, hatred, and delusion, and the cessation of the karmic cycle that they fuel.	buddhism philosophy religion classics
朋友	péngyou	friend		The everyday word for friend, and the rich web of relationship terms (好朋友, 男朋友, 交朋友) built around it.	vocabulary social connections daily-life
菩萨	púsà	Bodhisattva		菩萨 is the being who stands at the threshold of complete enlightenment and turns back: choosing to remain within the cycle of existence until every sentient being can be liberated alongside them.	buddhism religion compassion folk-religion
普通话	pǔtōnghuà	Mandarin Chinese		The common speech: how China standardized its national language, what Mandarin actually is, and how it relates to Cantonese, Shanghainese, and the Chinese dialects.	culture history education
其实	qíshí	actually		The everyday adverb for "actually, in fact," used to correct an impression or reveal the real situation, and how it differs from 实际上, 事实上, and 本来.	vocabulary adverb communication rhetoric
气功	qìgōng	qigong		Cultivating the vital breath: China's ancient practice of aligning body, breath, and mind.	tcm body meditation philosophy
谦虚	qiānxū	humility, modesty		谦虚 is both a Confucian virtue and a social practice: in Chinese interaction, it functions as a required performative register, not just an internal attitude.	confucianism virtue social ethics
乾坤	qiánkūn	heaven and earth; the two primary trigrams		The first two hexagrams of the Yijing encode the entire cosmos: Qian is pure creative yang, Kun is pure receptive yin, and between them all change unfolds.	cosmology philosophy yin-yang binary classical taoism literature history
人间	rénjiān	the human world; the mortal realm		The world of people: where karma plays out, where flowers fade in April, and where the only beings who can hear the Dharma are born.	philosophy buddhism folk-religion classical poetry cosmology literary
人生	rénshēng	human life; one's life journey		Human life: not biological existence, but the arc of a life lived: its meaning, its seasons, its reckoning.	philosophy confucianism daily-life
仁	rén	humaneness, benevolence		The supreme Confucian virtue: the quality of genuine care for other people that holds civilization together.	confucianism ethics virtue
认真	rènzhēn	earnest, conscientious, taking it seriously		To recognize the 真 of a thing and engage with it on its own terms: the everyday word for taking work, study, and other people seriously rather than going through motions.	virtue ethics knowing daily-life
山水	shānshuǐ	mountains and water; the landscape		The paired word that names the Chinese landscape: not "scenery" in the Western sense, but a cosmological pairing of the still and the flowing that became the central subject of a thousand years of painting and poetry.	aesthetics nature arts philosophy
山水画	shānshuǐhuà	Chinese Landscape Painting		Mountains and waters as a cosmological pair -- the genre that made ink the equal of philosophy.	art culture aesthetics nature classical visual literary
社会	shèhuì	society		The word for society that China borrowed from Japan, which had borrowed the characters from China: a compound forged at the altar of the earth.	society social connections culture confucianism history modern
神明	shénmíng	gods, spirits, deities; divine intelligence		The generic term for any deity in the Chinese religious world: and, in classical philosophy, the luminous intelligence that distinguishes the divine from the merely powerful.	religion folk-religion gods philosophy classical
生产	shēngchǎn	to produce, production, manufacturing		The foundational act of economic life: and, in China's Marxist political vocabulary, the act from which all social relations flow. Life gives rise to production; production sustains life.	economy production politics industry
诗词	shī cí	Chinese poetry		Poetry stood at the center of Chinese civilization for two thousand years: the primary medium for expressing emotion, demonstrating education, and participating in the social life of the literati class.	culture history arts
时候	shíhou	time, moment		The everyday word for a point in time, and the indispensable 的时候 ("when") pattern that every learner needs.	vocabulary time daily-life grammar
时间	shíjiān	time		Time: the compound that anchors all temporal expression in Mandarin.	time daily-life cosmology
书法	shūfǎ	calligraphy		The art where writing becomes a performance of character: and why the Chinese brush is a philosophical instrument.	calligraphy arts philosophy writing
丝绸之路	sīchóu zhī lù	the Silk Road		The term Silk Road was coined by a German geographer in 1877: the Chinese themselves had no single name for the trade network that defined their contact with the world for a millennium.	history geography silk trade
天地	tiāndì	heaven and earth; the cosmos		The foundational dyad of Chinese cosmology, pairing Heaven and Earth as the two poles of the created order within which all human life unfolds.	cosmology taoism philosophy nature heaven classical existence
天命	tiānmìng	the Mandate of Heaven		The political and cosmological concept that legitimized three thousand years of Chinese dynasty: heaven's appointment of the rightful ruler.	history politics philosophy
天人合一	tiān rén hé yī	Heaven and humanity as one: the unity of cosmic and human order		The organizing claim of Chinese cosmology: Heaven and humanity are not separate domains, and human flourishing depends on alignment with the natural order.	philosophy confucianism taoism cosmology nature heaven humanity classical
天下	tiānxià	all under heaven		The pre-nation-state Chinese political imagination: the civilized world.	politics history worldview
文化	wénhuà	culture; civilization		The word that names the organizing project of this entire site: and a concept that Chinese thought built from the ground up differently than the West did.	culture society language history
文明	wénmíng	civilization; cultivated and refined		文明 names both a state of cultivated life (literacy, ritual, the refined arts) and the global concept of civilization. The two meanings share a single Chinese word, and the doubling is the whole story.	culture philosophy modern history
问题	wèntí	question, problem		One word for both "question" and "problem", and the everyday phrases (没问题, 有问题, 出问题) built from it.	vocabulary communication daily-life evaluation
无为	wúwéi	non-action; acting in accord with nature		无为 is the Daoist elimination of forced, ego-driven action: the master principle behind effortless effectiveness, sage governance, and Zhuangzi's cook whose knife stays forever sharp.	daoism daodejing laozi wuwei philosophy
武术	wǔshù	martial arts		The art of stopping weapons: how China systematized combat into a living philosophy of the body.	martial-arts body philosophy culture
希望	xīwàng	to hope		The everyday word for hope, both the verb and the noun, and how it differs from 想 (to want), 愿意 (to be willing), 盼望 (to long for), and 期待 (to look forward to).	vocabulary feeling daily-life communication
喜欢	xǐhuan	to like		The everyday verb for liking, and how it differs from loving (爱), enjoying (喜爱), and being willing (愿意).	vocabulary emotion feeling daily-life
现在	xiànzài	now		The everyday word for now, where it sits in a Chinese sentence, and how it differs from 目前 (at present), 此刻 (this very moment), and 如今 (nowadays).	vocabulary time daily-life timing
孝	xiào	filial piety		An elder supported by a child's hands: the cardinal Confucian virtue that placed care for parents at the foundation of all moral life.	confucianism family culture philosophy
一会儿	yíhuìr	a short while		The everyday word for a little while, how it marks both a short duration and the near future, and how it differs from the verb-softener 一下 and from 等会儿.	vocabulary time timing daily-life
义	yì	Righteousness: The Second Constant		Doing what is right because it is right: 义 as the enacted path of Confucian ethics, the constant that gives 仁 its direction.	philosophy confucianism virtue ethics classical
意思	yìsi	meaning, intention		Meaning, interest, charm, and the gift-giving idiom 意思意思.	meaning gift register
阴阳	yīnyáng	yin and yang		The binary engine of all classical Chinese thought.	cosmology philosophy binary
缘分	yuánfèn	karmic connection		Buddhist-rooted fate that ties strangers, lovers, and old friends.	buddhism fate romance
长城	Chángchéng	the Great Wall		A series of fortification systems built across multiple dynasties, whose most visible sections are Ming-era brick: not the continuous ancient rampart of popular imagination.	history geography dynasty great-wall qin ming architecture
正在	zhèngzài	currently doing, progressive aspect		The primary progressive marker in Mandarin -- placed before a verb to signal an action caught in mid-motion, exactly now, still in progress.	grammar aspect adverb timing vocabulary daily-life colloquial
知道	zhīdào	to know		The everyday verb for knowing a fact, and how it differs from 认识 (to be acquainted with) and 了解 (to understand deeply).	vocabulary knowing daily-life communication
智慧	zhìhuì	wisdom; prajna		智慧 brings together Confucian moral discernment and Buddhist prajna under one compound: two traditions, one word, different objects of knowing.	philosophy buddhism confucianism knowing
中国	Zhōngguó	the Middle Kingdom; China		Two characters older than the country they now name. 中 (center) and 国 (state) joined three thousand years ago to mean "the central states"; the modern country took the phrase for itself only in the 19th century.	history geography culture politics cosmology
中国画	zhōng guó huà	Chinese painting		Brush and ink as philosophy: Chinese painting aims to capture the spirit of a subject and express the painter's inner cultivation rather than represent what the eye sees.	culture arts history
中文	zhōngwén	Chinese Language and Writing		中文 names both the written script and the spoken language: the most common term among learners, but it sits alongside 汉语, 普通话, and 汉字 in a system of names that carries real distinctions.	language writing hanzi characters meta vocabulary daily-life colloquial
中医	zhōngyī	Traditional Chinese Medicine		Two thousand years of systematic medical thought: qi, yin-yang, the Five Elements, acupuncture, and the living tradition that treats the person, not the disease.	tcm body philosophy culture
自然	zìrán	nature; natural; of course		Laozi placed 自然 at the center of his cosmology: the Way models itself on what is so of itself: no outside force required.	nature daoism philosophy cosmology
祖先	zǔxiān	ancestors; forebears		祖先 sits at the center of Chinese religious life: ancestor veneration is a living practice through which families maintain active, reciprocal continuity with the dead.	ancestors family folk-religion confucianism ritual
