//角落書屋/Slices/Grammar
把	bǎ	the disposal construction — Moving the object before the verb: when and why.
让	ràng	causative and permission structure — One verb, two functions: 让 makes someone do something, and lets someone do something. The core Chinese causative and permissive structure.
如果…就	rú guǒ jiù	if … then — The foundational conditional frame: the engine of hypothetical reasoning in Mandarin.
是…的	shì … de	the cleft construction — Focus and past-detail marking: the construction that trips every learner.
虽然…但是	suī rán dàn shì	although … but — The concession frame: granting the premise but pivoting to the real point.
所	suǒ	classical nominalizer and passive marker — The function word that turns verbs into noun phrases, and has been doing so since Confucius quoted it in the Analects.
太…了	tài le	too, excessively — The emphatic degree structure: 太…了 expresses excess and strong feeling, from complaints to enthusiastic praise.
往	wǎng	toward; to head for — The directional coverb for "toward", the 往 + direction + verb pattern, the verb sense "to go / in the past", and how 往 differs from 向 and 朝 for facing and motion.
为什么	wèi shén me	why — The neutral question word for cause and reason, how to answer it with 因为 or 为了, and how a plain 为什么 differs from the surprised 怎么 and the purpose-asking 为了什么.
一边…一边	yī biān yī biān	while doing; at the same time — Simultaneous actions: the frame for describing two things happening at once.
一点儿 / 有点儿	yì diǎn r / yǒu diǎn r	a little — The classic confusion pair: 有点儿 comes before an adjective and leans negative ("a bit too…"), while 一点儿 comes after and is neutral ("a little more").
一下	yí xià	the verb-softener — The verbal-quantity word that makes an action brief and casual, how verb + 一下 softens a request, and how it differs from verb reduplication and from the time-word 一会儿.
一样 / 像	yí yàng / xiàng	same and similar — How to say two things are the same (A 跟 B 一样) or alike (A 像 B), and how this differs from the unequal comparison with 比.
已经	yǐ jīng	already — Mandarin's 'already' adverb: how 已经 differs from English, its placement before the verb, and its relationship with 了 and 还没有.
因为…所以	yīn wèi suǒ yǐ	because…therefore — The causal conjunction pair: 因为 states the cause and 所以 announces the result, forming a two-clause logical structure that Chinese uses more explicitly than English.
应该	yīng gāi	the modal "should" — The modal verb for "should, ought to," covering both moral obligation and confident inference, and how it differs from 得, 要, and 必须.
与其…不如	yǔ qí bù rú	rather than … it would be better to — Comparative preference construction: the most elegant way to argue for one choice over another.
越来越	yu è lái yu è	more and more; increasingly — The degree escalation pattern: expressing a quality that grows continuously over time.
在	zài	location, existence, and the progressive — One of the busiest words in Mandarin: the verb "to be at," the location coverb "at/in," and the progressive marker for ongoing action.
怎么	zěn me	how, in what way; why — The all-purpose question word for manner and reason: how to do something, what is wrong, and the surprised "how come," plus how 怎么 differs from 为什么 and 怎么样.
者	zhě	classical nominalizer "the one who; that which" — The particle that turns a verb or adjective into a person, and that never stopped working.
着	zhe	the continuous aspect marker — Three distinct jobs: holding a state, linking two actions, and commanding attention. All from a single particle that beginners collapse into one.
之	zhī	classical genitive, nominalizer, and pronoun — The single character that does the work of three English words (of, it, and the one who) and still shows up in modern Chinese every day.
只有…才	zhǐ yǒu cái	only if…then; the restrictive conditional — The exclusive condition: only when X is met can Y happen. The grammatical frame for necessity.
